,totalTravelTimeInSec,totalPrice,totalNumberOfChanges,totalWalkingDistance,totalWaitingTime,odPair_id,sourceName,targetName
max,27420.0,30.670709329111084,3.0,0.31688848018425153,22860.0,4-25,Bochum,Solingen
min,11160.0,21.74765066055529,0.0,0.0,0.0,29-12,Würzburg,Essen
mean,22705.64175257732,71.11761653863906,1.3170103092783505,0.07344393377091418,3400.561855670103,29-12,Würzburg,Essen
max,83810.0,112.08332449278947,2.0,0.2792548637200728,66537.0,29-12,Würzburg,Essen
min,9403.0,18.46812756481041,0.0,0.0,0.0,22-16,Nürnberg,Heidelberg
mean,12031.567010309278,41.47533201586037,0.4742268041237113,0.25618726509300604,633.4536082474227,22-16,Nürnberg,Heidelberg
max,16920.0,68.77477510297531,2.0,0.6120953528283399,6360.0,22-16,Nürnberg,Heidelberg
min,9040.0,19.25059342016765,0.0,0.0,0.0,16-27,Heidelberg,Ulm
mean,14293.192727272728,42.747841156454534,1.461818181818182,0.23489860929963507,2180.8945454545456,16-27,Heidelberg,Ulm
max,26687.0,61.35023771273699,2.0,0.6317246641289922,14131.0,16-27,Heidelberg,Ulm
min,1384.0,4.0,0.0,0.0,0.0,4-8,Bochum,Duisburg
mean,8669.587064676616,6.9124082187671405,0.6069651741293532,0.156599766955684,3427.3880597014927,4-8,Bochum,Duisburg
max,30243.0,11.009262773562453,2.0,0.36578423160953866,28135.0,4-8,Bochum,Duisburg
min,8820.0,17.0,0.0,0.0,0.0,17-25,Karlsruhe,Solingen
mean,14294.301369863013,66.16164875362634,0.5616438356164384,0.09280786141965848,931.8493150684932,17-25,Karlsruhe,Solingen
max,26579.0,99.91408909709492,1.0,0.4378233544060443,11265.0,17-25,Karlsruhe,Solingen
min,6992.0,10.0,0.0,0.0,0.0,7-1,Dortmund,Aachen
mean,9371.246376811594,30.25824245363665,0.7101449275362319,0.215637303800041,590.2898550724638,7-1,Dortmund,Aachen
max,13200.0,43.97822401116033,1.0,0.5790593389247191,7020.0,7-1,Dortmund,Aachen
min,3604.0,15.742616077182195,0.0,0.0,0.0,5-8,Bonn,Duisburg
