Total Travel Time,Price,Total Walking Distance,Total Waiting Time,finalsolutionusedlabels,sourcename,targetname,distance,stresslevel,multimodality,safety_boost,caloriesBurnt_avg,mood_upgrade,earnings_gross,delay_probability,luggage_transportation,meal_option,possible_expences
0.39,0.86,0,0.0,[flixbus],Essen,Gelsenkirchen,10.305,low,0,13,33,achieved,9.53,0.7,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks",3
0.13,2.17,0,0.0,[db_fv],Essen,Gelsenkirchen,10.305,low,0,11,11,achieved,3.18,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",3
0.13,2.89,0,0.0,[db_fv],Essen,Gelsenkirchen,10.305,low,0,11,11,achieved,3.18,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",3
0.25,3.83,0,0.0,[car],Essen,Gelsenkirchen,13.746,low,0,1,21,achieved,6.11,0.4,"several hand bags, 6 bags, unlimited weight","prepared own snacks, buying at gas stations",3
0.39,0.86,300,0.0,[flixbus],Essen,Gelsenkirchen,10.305,low,0,13,42,achieved,9.53,0.7,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks",3
5.57,22.47,0,0.0,"[blablacar, db_fv]",Heidelberg,Oberhausen,326.313,low,1,2,471,achieved,136.13,0.8,"2 pieces of hand luggage, 2 free pieces of checked baggage up to 23 kg, additional bags per fee","prepared cold food&drinks, no alcohol + catering trolley, on-board catering with 2-g rule",3
3.98,27.43,0,0.0,"[blablacar, db_fv]",Heidelberg,Oberhausen,326.313,low,1,2,336,achieved,97.27,0.8,"2 pieces of hand luggage, 2 free pieces of checked baggage up to 23 kg, additional bags per fee","prepared cold food&drinks, no alcohol + catering trolley, on-board catering with 2-g rule",3
3.95,91.02,0,0.0,"[flixbus, db_fv]",Heidelberg,Oberhausen,326.313,low,1,12,334,achieved,96.54,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
3.65,91.02,0,0.0,"[flixbus, db_fv]",Heidelberg,Oberhausen,326.313,low,1,12,308,achieved,89.21,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
3.48,91.13,0,0.0,"[flixbus, db_fv]",Heidelberg,Oberhausen,326.313,low,1,12,294,achieved,85.05,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
3.18,91.63,0,0.0,"[flixbus, db_fv]",Heidelberg,Oberhausen,326.313,low,1,12,269,achieved,77.72,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
3.18,96.41,0,0.0,"[flixbus, db_fv]",Heidelberg,Oberhausen,326.313,low,1,12,269,achieved,77.72,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
3.98,29.41,0,0.0,"[blablacar, db_fv]",Heidelberg,Oberhausen,326.313,low,1,2,336,achieved,97.27,0.8,"2 pieces of hand luggage, 2 free pieces of checked baggage up to 23 kg, additional bags per fee","prepared cold food&drinks, no alcohol + catering trolley, on-board catering with 2-g rule",3
3.53,93.6,0,0.0,[car],Heidelberg,Oberhausen,314.172,low,0,1,298,achieved,86.27,0.4,"several hand bags, 6 bags, unlimited weight","prepared own snacks, buying at gas stations",3
5.57,22.47,383,0.0,"[blablacar, db_fv]",Heidelberg,Oberhausen,326.313,low,1,2,482,achieved,136.13,0.8,"2 pieces of hand luggage, 2 free pieces of checked baggage up to 23 kg, additional bags per fee","prepared cold food&drinks, no alcohol + catering trolley, on-board catering with 2-g rule",3
3.98,29.41,273,0.0,"[blablacar, db_fv]",Heidelberg,Oberhausen,326.313,low,1,2,344,achieved,97.27,0.8,"2 pieces of hand luggage, 2 free pieces of checked baggage up to 23 kg, additional bags per fee","prepared cold food&drinks, no alcohol + catering trolley, on-board catering with 2-g rule",3
3.18,96.41,632,0.0,"[flixbus, db_fv]",Heidelberg,Oberhausen,326.313,low,1,12,287,achieved,77.72,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
3.98,27.43,273,0.0,"[blablacar, db_fv]",Heidelberg,Oberhausen,326.313,low,1,2,344,achieved,97.27,0.8,"2 pieces of hand luggage, 2 free pieces of checked baggage up to 23 kg, additional bags per fee","prepared cold food&drinks, no alcohol + catering trolley, on-board catering with 2-g rule",3
3.95,91.02,632,0.0,"[flixbus, db_fv]",Heidelberg,Oberhausen,326.313,low,1,12,352,achieved,96.54,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
3.65,91.02,632,0.0,"[flixbus, db_fv]",Heidelberg,Oberhausen,326.313,low,1,12,327,achieved,89.21,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
3.63,96.39,632,0.0,"[flixbus, db_fv]",Heidelberg,Oberhausen,326.313,low,1,12,325,achieved,88.72,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
7.77,96.05,0,0.0,[db_fv],Heidelberg,Oberhausen,326.313,low,0,11,657,achieved,189.9,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",3
5.57,27.43,273,0.0,"[blablacar, db_fv]",Heidelberg,Oberhausen,326.313,low,1,2,479,achieved,136.13,0.8,"2 pieces of hand luggage, 2 free pieces of checked baggage up to 23 kg, additional bags per fee","prepared cold food&drinks, no alcohol + catering trolley, on-board catering with 2-g rule",3
5.57,22.47,383,1.39,"[blablacar, db_fv]",Heidelberg,Oberhausen,326.313,low,1,2,482,achieved,170.1,0.8,"2 pieces of hand luggage, 2 free pieces of checked baggage up to 23 kg, additional bags per fee","prepared cold food&drinks, no alcohol + catering trolley, on-board catering with 2-g rule",3
3.98,29.41,273,0.28,"[blablacar, db_fv]",Heidelberg,Oberhausen,326.313,low,1,2,344,achieved,104.11,0.8,"2 pieces of hand luggage, 2 free pieces of checked baggage up to 23 kg, additional bags per fee","prepared cold food&drinks, no alcohol + catering trolley, on-board catering with 2-g rule",3
3.18,96.41,632,0.29,"[flixbus, db_fv]",Heidelberg,Oberhausen,326.313,low,1,12,287,achieved,84.81,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
3.98,27.43,273,0.3,"[blablacar, db_fv]",Heidelberg,Oberhausen,326.313,low,1,2,344,achieved,104.6,0.8,"2 pieces of hand luggage, 2 free pieces of checked baggage up to 23 kg, additional bags per fee","prepared cold food&drinks, no alcohol + catering trolley, on-board catering with 2-g rule",3
3.95,91.02,632,1.22,"[flixbus, db_fv]",Heidelberg,Oberhausen,326.313,low,1,12,352,achieved,126.35,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
3.65,91.02,632,0.87,"[flixbus, db_fv]",Heidelberg,Oberhausen,326.313,low,1,12,327,achieved,110.47,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
3.63,96.39,632,0.65,"[flixbus, db_fv]",Heidelberg,Oberhausen,326.313,low,1,12,325,achieved,104.6,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
7.77,96.05,0,4.6,[db_fv],Heidelberg,Oberhausen,326.313,low,0,11,657,achieved,302.32,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",3
7.77,96.05,0,4.58,[db_fv],Heidelberg,Oberhausen,326.313,low,0,11,657,achieved,301.83,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",3
5.57,60.7,383,0.04,"[blablacar, db_fv]",Heidelberg,Oberhausen,326.313,low,1,2,482,achieved,137.11,0.8,"2 pieces of hand luggage, 2 free pieces of checked baggage up to 23 kg, additional bags per fee","prepared cold food&drinks, no alcohol + catering trolley, on-board catering with 2-g rule",3
5.56,40.13,499,0.2,"[flixbus, db_fv]",Heidelberg,Oberhausen,326.313,low,1,12,485,achieved,140.77,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
5.57,27.43,273,1.88,"[blablacar, db_fv]",Heidelberg,Oberhausen,326.313,low,1,2,479,achieved,182.08,0.8,"2 pieces of hand luggage, 2 free pieces of checked baggage up to 23 kg, additional bags per fee","prepared cold food&drinks, no alcohol + catering trolley, on-board catering with 2-g rule",3
5.84,30.06,437,0.08,[flixbus],Heidelberg,Oberhausen,326.313,low,0,13,506,achieved,144.68,0.7,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks",3
1.93,26.05,0,0.0,[db_fv],Aachen,Bonn,103.155,low,0,11,163,achieved,47.17,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",2
1.13,27.81,0,0.0,[car],Aachen,Bonn,94.678,low,0,1,95,achieved,27.62,0.4,"several hand bags, 6 bags, unlimited weight","prepared own snacks, buying at gas stations",2
0.95,28.21,0,0.0,[db_fv],Aachen,Bonn,103.155,low,0,11,80,achieved,23.22,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",2
2.95,26.05,0,0.0,[db_fv],Aachen,Bonn,103.155,low,0,11,249,achieved,72.1,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",2
1.55,28.21,0,0.0,[db_fv],Aachen,Bonn,103.155,low,0,11,131,achieved,37.88,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",2
2.55,28.21,0,0.0,[db_fv],Aachen,Bonn,103.155,low,0,11,215,achieved,62.32,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",2
1.93,26.05,0,1.03,[db_fv],Aachen,Bonn,103.155,low,0,11,163,achieved,72.34,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",2
0.95,28.21,0,0.05,[db_fv],Aachen,Bonn,103.155,low,0,11,80,achieved,24.44,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",2
0.95,28.21,0,0.03,[db_fv],Aachen,Bonn,103.155,low,0,11,80,achieved,23.95,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",2
2.95,26.05,0,2.05,[db_fv],Aachen,Bonn,103.155,low,0,11,249,achieved,122.2,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",2
1.55,28.21,0,0.63,[db_fv],Aachen,Bonn,103.155,low,0,11,131,achieved,53.28,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",2
2.55,28.21,0,1.63,[db_fv],Aachen,Bonn,103.155,low,0,11,215,achieved,102.16,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",2
1.06,2.35,0,0.0,[flixbus],Bochum,Gelsenkirchen,16.272000000000002,low,0,13,90,achieved,25.91,0.7,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks",3
0.81,2.35,0,0.0,[flixbus],Bochum,Gelsenkirchen,16.272000000000002,low,0,13,68,achieved,19.8,0.7,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks",3
0.3,3.78,0,0.0,[car],Bochum,Gelsenkirchen,15.451,low,0,1,25,achieved,7.33,0.4,"several hand bags, 6 bags, unlimited weight","prepared own snacks, buying at gas stations",3
0.53,4.62,0,0.0,"[db_fv, flixbus]",Bochum,Gelsenkirchen,16.272000000000002,low,1,12,45,achieved,12.95,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
0.43,6.65,0,0.0,[db_fv],Bochum,Gelsenkirchen,16.272000000000002,low,0,11,36,achieved,10.51,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",3
0.37,7.19,0,0.0,[db_fv],Bochum,Gelsenkirchen,16.272000000000002,low,0,11,31,achieved,9.04,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",3
1.06,2.35,311,0.0,[flixbus],Bochum,Gelsenkirchen,16.272000000000002,low,0,13,99,achieved,25.91,0.7,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks",3
0.81,2.35,311,0.0,[flixbus],Bochum,Gelsenkirchen,16.272000000000002,low,0,13,78,achieved,19.8,0.7,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks",3
0.53,4.62,300,0.0,"[db_fv, flixbus]",Bochum,Gelsenkirchen,16.272000000000002,low,1,12,54,achieved,12.95,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
10.54,4.62,300,0.0,"[db_fv, flixbus]",Bochum,Gelsenkirchen,16.272000000000002,low,1,12,900,achieved,257.6,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
1.68,5.93,0,0.0,[db_fv],Bochum,Gelsenkirchen,16.272000000000002,low,0,11,142,achieved,41.06,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",3
9.68,4.68,0,0.0,[db_fv],Bochum,Gelsenkirchen,16.272000000000002,low,0,11,818,achieved,236.58,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",3
1.53,4.38,257,0.0,"[flixbus, db_fv]",Bochum,Gelsenkirchen,16.272000000000002,low,1,12,137,achieved,37.39,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
2.26,3.66,257,0.0,"[flixbus, db_fv]",Bochum,Gelsenkirchen,16.272000000000002,low,1,12,199,achieved,55.23,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
10.32,3.36,300,0.0,"[db_fv, flixbus]",Bochum,Gelsenkirchen,16.272000000000002,low,1,12,881,achieved,252.22,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
1.06,2.35,311,0.25,[flixbus],Bochum,Gelsenkirchen,16.272000000000002,low,0,13,99,achieved,32.02,0.7,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks",3
0.53,4.62,300,0.01,"[db_fv, flixbus]",Bochum,Gelsenkirchen,16.272000000000002,low,1,12,54,achieved,13.2,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
0.43,6.65,0,0.15,[db_fv],Bochum,Gelsenkirchen,16.272000000000002,low,0,11,36,achieved,14.18,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",3
0.37,7.19,0,0.05,[db_fv],Bochum,Gelsenkirchen,16.272000000000002,low,0,11,31,achieved,10.26,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",3
10.54,4.62,300,10.01,"[db_fv, flixbus]",Bochum,Gelsenkirchen,16.272000000000002,low,1,12,900,achieved,502.24,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
1.68,5.93,0,1.4,[db_fv],Bochum,Gelsenkirchen,16.272000000000002,low,0,11,142,achieved,75.28,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",3
9.68,4.68,0,9.4,[db_fv],Bochum,Gelsenkirchen,16.272000000000002,low,0,11,818,achieved,466.32,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",3
1.53,4.38,257,0.93,"[flixbus, db_fv]",Bochum,Gelsenkirchen,16.272000000000002,low,1,12,137,achieved,60.12,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
2.26,3.66,257,1.66,"[flixbus, db_fv]",Bochum,Gelsenkirchen,16.272000000000002,low,1,12,199,achieved,95.8,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
10.32,3.36,300,9.78,"[db_fv, flixbus]",Bochum,Gelsenkirchen,16.272000000000002,low,1,12,881,achieved,491.24,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
0.69,14.3,0,0.0,[car],Wuppertal,Duisburg,54.734,low,0,1,58,achieved,16.86,0.4,"several hand bags, 6 bags, unlimited weight","prepared own snacks, buying at gas stations",4
6.32,16.39,0,0.0,"[db_fv, flixbus, blablacar]",Wuppertal,Duisburg,50.56399999999999,low,1,3,534,achieved,154.46,0.928,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","catering trolley, on-board catering with 2-g rule+ prepared own snacks, on-board purshase of low cost snacks&drinks+ prepared cold food&drinks, no alcohol",4
5.34,16.39,0,0.0,"[db_fv, flixbus, blablacar]",Wuppertal,Duisburg,50.56399999999999,low,1,3,451,achieved,130.51,0.928,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","catering trolley, on-board catering with 2-g rule+ prepared own snacks, on-board purshase of low cost snacks&drinks+ prepared cold food&drinks, no alcohol",4
2.83,16.89,0,0.0,"[db_fv, flixbus, db_fv]",Wuppertal,Duisburg,50.56399999999999,low,1,18,239,achieved,69.17,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",4
2.5,18.15,0,0.0,"[db_fv, flixbus, db_fv]",Wuppertal,Duisburg,50.56399999999999,low,1,18,211,achieved,61.1,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",4
2.18,18.15,0,0.0,"[db_fv, flixbus, db_fv]",Wuppertal,Duisburg,50.56399999999999,low,1,18,184,achieved,53.28,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",4
2.08,19.57,0,0.0,"[db_fv, flixbus, db_fv]",Wuppertal,Duisburg,50.56399999999999,low,1,18,176,achieved,50.84,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",4
1.48,23.04,0,0.0,[db_fv],Wuppertal,Duisburg,50.56399999999999,low,0,11,125,achieved,36.17,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",4
1.23,24.27,0,0.0,[db_fv],Wuppertal,Duisburg,50.56399999999999,low,0,11,104,achieved,30.06,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",4
1.2,24.27,0,0.0,[db_fv],Wuppertal,Duisburg,50.56399999999999,low,0,11,101,achieved,29.33,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",4
1.17,24.27,0,0.0,[db_fv],Wuppertal,Duisburg,50.56399999999999,low,0,11,99,achieved,28.59,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",4
1.1,26.95,0,0.0,[db_fv],Wuppertal,Duisburg,50.56399999999999,low,0,11,93,achieved,26.88,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",4
6.98,23.27,0,0.0,"[db_fv, blablacar]",Wuppertal,Duisburg,50.56399999999999,low,1,2,590,achieved,170.59,0.8,"2 pieces of hand luggage, 2 free pieces of checked baggage up to 23 kg, additional bags per fee","prepared cold food&drinks, no alcohol + catering trolley, on-board catering with 2-g rule",4
2.97,19.71,0,0.0,"[db_fv, blablacar]",Wuppertal,Duisburg,50.56399999999999,low,1,2,251,achieved,72.59,0.8,"2 pieces of hand luggage, 2 free pieces of checked baggage up to 23 kg, additional bags per fee","prepared cold food&drinks, no alcohol + catering trolley, on-board catering with 2-g rule",4
1.27,24.27,0,0.0,[db_fv],Wuppertal,Duisburg,50.56399999999999,low,0,11,107,achieved,31.04,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",4
5.34,16.39,617,0.0,"[db_fv, flixbus, blablacar]",Wuppertal,Duisburg,50.56399999999999,low,1,3,469,achieved,130.51,0.928,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","catering trolley, on-board catering with 2-g rule+ prepared own snacks, on-board purshase of low cost snacks&drinks+ prepared cold food&drinks, no alcohol",4
2.83,16.89,476,0.0,"[db_fv, flixbus, db_fv]",Wuppertal,Duisburg,50.56399999999999,low,1,18,253,achieved,69.17,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",4
2.5,18.15,479,0.0,"[db_fv, flixbus, db_fv]",Wuppertal,Duisburg,50.56399999999999,low,1,18,225,achieved,61.1,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",4
2.18,18.15,479,0.0,"[db_fv, flixbus, db_fv]",Wuppertal,Duisburg,50.56399999999999,low,1,18,198,achieved,53.28,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",4
2.08,19.57,479,0.0,"[db_fv, flixbus, db_fv]",Wuppertal,Duisburg,50.56399999999999,low,1,18,190,achieved,50.84,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",4
1.48,23.04,173,0.0,[db_fv],Wuppertal,Duisburg,50.56399999999999,low,0,11,130,achieved,36.17,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",4
1.23,24.27,173,0.0,[db_fv],Wuppertal,Duisburg,50.56399999999999,low,0,11,109,achieved,30.06,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",4
1.17,24.27,173,0.0,[db_fv],Wuppertal,Duisburg,50.56399999999999,low,0,11,104,achieved,28.59,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",4
1.1,26.95,173,0.0,[db_fv],Wuppertal,Duisburg,50.56399999999999,low,0,11,98,achieved,26.88,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",4
6.98,23.27,224,0.0,"[db_fv, blablacar]",Wuppertal,Duisburg,50.56399999999999,low,1,2,596,achieved,170.59,0.8,"2 pieces of hand luggage, 2 free pieces of checked baggage up to 23 kg, additional bags per fee","prepared cold food&drinks, no alcohol + catering trolley, on-board catering with 2-g rule",4
2.97,19.71,224,0.0,"[db_fv, blablacar]",Wuppertal,Duisburg,50.56399999999999,low,1,2,258,achieved,72.59,0.8,"2 pieces of hand luggage, 2 free pieces of checked baggage up to 23 kg, additional bags per fee","prepared cold food&drinks, no alcohol + catering trolley, on-board catering with 2-g rule",4
1.27,24.27,173,0.0,[db_fv],Wuppertal,Duisburg,50.56399999999999,low,0,11,112,achieved,31.04,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",4
3.0,26.84,95,0.0,"[db_fv, flixbus]",Wuppertal,Duisburg,50.56399999999999,low,1,12,256,achieved,73.32,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",4
5.57,29.52,95,0.0,"[db_fv, flixbus]",Wuppertal,Duisburg,50.56399999999999,low,1,12,473,achieved,136.13,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",4
3.98,19.2,364,0.0,"[db_fv, blablacar, db_fv]",Wuppertal,Duisburg,50.56399999999999,low,1,3,347,achieved,97.27,0.8,"2 pieces of hand luggage, 2 free pieces of checked baggage up to 23 kg, additional bags per fee","prepared cold food&drinks, no alcohol + catering trolley, on-board catering with 2-g rule",4
3.34,19.02,366,0.0,"[db_fv, blablacar]",Wuppertal,Duisburg,50.56399999999999,low,1,2,293,achieved,81.63,0.8,"2 pieces of hand luggage, 2 free pieces of checked baggage up to 23 kg, additional bags per fee","prepared cold food&drinks, no alcohol + catering trolley, on-board catering with 2-g rule",4
