,totalTravelTimeInSec,totalPrice,totalNumberOfChanges,totalWalkingDistance,totalWaitingTime,odPair_id,sourceName,targetName
min,480.0,0.8551160376039061,0.0,0.0,0.0,12-13,Essen,Gelsenkirchen
mean,835.44,2.05389174426062,0.0,0.06474581418042823,0.0,12-13,Essen,Gelsenkirchen
max,1415.0,3.825187115668229,0.0,0.29974913972420464,0.0,12-13,Essen,Gelsenkirchen
min,11447.0,22.466778471773356,0.0,0.0,0.0,16-23,Heidelberg,Oberhausen
mean,15664.124352331606,62.04919971714793,0.8860103626943006,0.23106099876767983,1185.7046632124352,16-23,Heidelberg,Oberhausen
max,27960.0,96.41213658586128,2.0,0.6317246641289922,16560.0,16-23,Heidelberg,Oberhausen
min,3420.0,26.04948254504023,0.0,0.0,0.0,1-5,Aachen,Bonn
mean,5654.609929078014,27.363173107736984,0.6950354609929078,0.0,800.8510638297872,1-5,Aachen,Bonn
max,10620.0,28.208285619746256,1.0,0.0,7380.0,1-5,Aachen,Bonn
min,1092.0,2.346939519423768,0.0,0.0,0.0,4-13,Bochum,Gelsenkirchen
mean,4872.857142857143,3.987797384122717,0.6928571428571428,0.1122265476061975,1434.5714285714287,4-13,Bochum,Gelsenkirchen
max,37927.0,7.185667775303978,1.0,0.31129010656324324,36032.0,4-13,Bochum,Gelsenkirchen
min,2476.0,14.301295553029355,0.0,0.0,0.0,28-8,Wuppertal,Duisburg
mean,8781.210843373494,20.18035386244895,1.1325301204819278,0.17945522169372832,1459.2289156626507,28-8,Wuppertal,Duisburg
max,25143.0,29.52344920705388,2.0,0.617015282746774,16643.0,28-8,Wuppertal,Duisburg
min,6960.0,34.67954976614127,0.0,0.0,0.0,29-21,Würzburg,München
mean,15683.967479674797,57.01102601824156,0.8130081300813008,0.05849576399365902,850.5853658536586,29-21,Würzburg,München
max,34072.0,83.46943480823707,3.0,0.5718596206653955,8342.0,29-21,Würzburg,München
min,2195.0,6.0833762396980475,0.0,0.0,0.0,14-4,Hagen,Bochum
mean,7519.366515837104,9.024141694817889,0.755656108597285,0.09750414774900044,1631.1900452488687,14-4,Hagen,Bochum
max,23976.0,43.38928217046568,1.0,0.31688848018425153,20749.0,14-4,Hagen,Bochum
min,4582.0,26.0,0.0,0.0,0.0,1-25,Aachen,Solingen
mean,12641.859154929578,32.07990360533937,0.7605633802816901,0.04806166429460241,703.2042253521126,1-25,Aachen,Solingen
max,25314.0,126.6279010174958,2.0,0.25276875295679785,6900.0,1-25,Aachen,Solingen
min,4260.0,18.444540393367237,0.0,0.0,0.0,10-22,Erfurt,Nürnberg
mean,9286.71794871795,43.48548884009278,0.0,0.12135489402270948,0.0,10-22,Erfurt,Nürnberg
max,14177.0,68.72357885728093,0.0,0.5258712074317409,0.0,10-22,Erfurt,Nürnberg
min,7920.0,14.910053581379357,0.0,0.0,0.0,29-17,Würzburg,Karlsruhe
mean,8900.222222222223,48.24398796123153,0.4382716049382716,0.10130721896554405,198.59259259259258,29-17,Würzburg,Karlsruhe
max,12840.0,75.68605069458049,1.0,0.4164008744758161,4440.0,29-17,Würzburg,Karlsruhe
min,840.0,6.306706969312318,0.0,0.0,0.0,14-28,Hagen,Wuppertal
mean,1013.5714285714286,6.757901216394491,0.0,0.0,0.0,14-28,Hagen,Wuppertal
max,1905.0,9.465066698887552,0.0,0.0,0.0,14-28,Hagen,Wuppertal
min,2186.0,6.0833762396980475,0.0,0.0,0.0,4-14,Bochum,Hagen
mean,2997.05,8.589919407051,0.69375,0.06733880203915352,262.31875,4-14,Bochum,Hagen
max,6300.0,11.637579519420662,1.0,0.31688848018425153,4500.0,4-14,Bochum,Hagen
min,7150.0,29.906561747098994,0.0,0.0,0.0,1-7,Aachen,Dortmund
mean,15245.349544072948,41.581153674878124,1.3525835866261398,0.13660643076071033,2369.0,1-7,Aachen,Dortmund
max,38891.0,170.2874150357041,3.0,0.4766491528213535,26877.0,1-7,Aachen,Dortmund
min,14760.0,32.250231024112374,0.0,0.0,0.0,10-9,Erfurt,Düsseldorf
mean,20589.76589595376,84.2630181657701,0.5028901734104047,0.14021306713593715,572.679190751445,10-9,Erfurt,Düsseldorf
max,30404.0,134.35215314239454,1.0,0.5621305496484176,16380.0,10-9,Erfurt,Düsseldorf
min,11160.0,21.74765066055529,0.0,0.0,0.0,29-12,Würzburg,Essen
mean,25073.784574468085,64.62365248543733,1.074468085106383,0.06877628654418032,3913.478723404255,29-12,Würzburg,Essen
