,routes,origin,destination,origin_gis,destination_gis,path,origin_info,destination_info
0,Gelsenkirchen-Oberhausen,Gelsenkirchen,Oberhausen,"[7.096064, 51.510892]","[6.852291, 51.470317]","[[7.096064, 51.510892], [6.852291, 51.470317]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.oberhausen-tourismus.de/en/index.php
1,Gelsenkirchen-Bonn,Gelsenkirchen,Bonn,"[7.096064, 51.510892]","[7.099187, 50.734245]","[[7.096064, 51.510892], [7.099187, 50.734245]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php
2,Gelsenkirchen-Duisburg,Gelsenkirchen,Duisburg,"[7.096064, 51.510892]","[6.765477000000001, 51.433259]","[[7.096064, 51.510892], [6.765477000000001, 51.433259]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.duisburg.de/tourismus/index.php
3,Gelsenkirchen-München,Gelsenkirchen,München,"[7.096064, 51.510892]","[11.575997000000001, 48.137683]","[[7.096064, 51.510892], [11.575997000000001, 48.137683]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.munich.travel/en
4,Gelsenkirchen-Bochum,Gelsenkirchen,Bochum,"[7.096064, 51.510892]","[7.217177, 51.482699]","[[7.096064, 51.510892], [7.217177, 51.482699]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.bochum-tourismus.de/#c32169
5,Gelsenkirchen-Solingen,Gelsenkirchen,Solingen,"[7.096064, 51.510892]","[7.085665, 51.171718]","[[7.096064, 51.510892], [7.085665, 51.171718]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.solingen.de/marketing/
6,Gelsenkirchen-Nürnberg,Gelsenkirchen,Nürnberg,"[7.096064, 51.510892]","[11.075269, 49.450938]","[[7.096064, 51.510892], [11.075269, 49.450938]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://tourismus.nuernberg.de/en/
7,Gelsenkirchen-Karlsruhe,Gelsenkirchen,Karlsruhe,"[7.096064, 51.510892]","[8.405282000000001, 49.009626000000004]","[[7.096064, 51.510892], [8.405282000000001, 49.009626000000004]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.karlsruhe-erleben.de/en/media/attractions/Tourist-Information-Karlsruhe#/article/b0956bf3-244e-4dbe-8284-8295333e4237
8,Gelsenkirchen-Wuppertal,Gelsenkirchen,Wuppertal,"[7.096064, 51.510892]","[7.195874000000001, 51.271288]","[[7.096064, 51.510892], [7.195874000000001, 51.271288]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.wuppertal.de/tourismus-freizeit/touristinformationen/index.php?10
9,Gelsenkirchen-Hagen,Gelsenkirchen,Hagen,"[7.096064, 51.510892]","[7.4674059999999995, 51.360171]","[[7.096064, 51.510892], [7.4674059999999995, 51.360171]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://hagenentdecken.de/
10,Gelsenkirchen-Dortmund,Gelsenkirchen,Dortmund,"[7.096064, 51.510892]","[7.4641649999999995, 51.514171000000005]","[[7.096064, 51.510892], [7.4641649999999995, 51.514171000000005]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://visit.dortmund.de/en/
11,Gelsenkirchen-Düsseldorf,Gelsenkirchen,Düsseldorf,"[7.096064, 51.510892]","[6.780067999999999, 51.22422]","[[7.096064, 51.510892], [6.780067999999999, 51.22422]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.duesseldorf-tourismus.de/en
12,Gelsenkirchen-Essen,Gelsenkirchen,Essen,"[7.096064, 51.510892]","[7.012583, 51.455843]","[[7.096064, 51.510892], [7.012583, 51.455843]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.visitessen.de/startseite_14/Startseite.en.html
13,Gelsenkirchen-Erlangen,Gelsenkirchen,Erlangen,"[7.096064, 51.510892]","[11.003274000000001, 49.595079999999996]","[[7.096064, 51.510892], [11.003274000000001, 49.595079999999996]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.erlangen.info/schaufenster/tourist-information_erlangen-314/
14,Gelsenkirchen-Osnabrück,Gelsenkirchen,Osnabrück,"[7.096064, 51.510892]","[8.04205, 52.276920000000004]","[[7.096064, 51.510892], [8.04205, 52.276920000000004]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.osnabrueck.de//english
15,Gelsenkirchen-Leipzig,Gelsenkirchen,Leipzig,"[7.096064, 51.510892]","[12.377931, 51.338288]","[[7.096064, 51.510892], [12.377931, 51.338288]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://english.leipzig.de/
16,Gelsenkirchen-Würzburg,Gelsenkirchen,Würzburg,"[7.096064, 51.510892]","[9.93725, 49.793929999999996]","[[7.096064, 51.510892], [9.93725, 49.793929999999996]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.wuerzburg.de/en/index.html
17,Gelsenkirchen-Mannheim,Gelsenkirchen,Mannheim,"[7.096064, 51.510892]","[8.466275, 49.48778]","[[7.096064, 51.510892], [8.466275, 49.48778]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.visit-mannheim.de/en
18,Gelsenkirchen-Ulm,Gelsenkirchen,Ulm,"[7.096064, 51.510892]","[9.990402, 48.398454]","[[7.096064, 51.510892], [9.990402, 48.398454]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://tourismus.ulm.de/en/
19,Gelsenkirchen-Bamberg,Gelsenkirchen,Bamberg,"[7.096064, 51.510892]","[10.886786, 49.893387]","[[7.096064, 51.510892], [10.886786, 49.893387]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://en.bamberg.info/?setLanguage=en
20,Gelsenkirchen-Darmstadt,Gelsenkirchen,Darmstadt,"[7.096064, 51.510892]","[8.653838, 49.872238]","[[7.096064, 51.510892], [8.653838, 49.872238]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.darmstadt-tourismus.de/en/visit.html
21,Gelsenkirchen-Köln,Gelsenkirchen,Köln,"[7.096064, 51.510892]","[6.957068, 50.938107]","[[7.096064, 51.510892], [6.957068, 50.938107]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.cologne-tourism.com/
22,Gelsenkirchen-Stuttgart,Gelsenkirchen,Stuttgart,"[7.096064, 51.510892]","[9.177734, 48.775816999999996]","[[7.096064, 51.510892], [9.177734, 48.775816999999996]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.stuttgart-tourist.de/en
23,Gelsenkirchen-Heidelberg,Gelsenkirchen,Heidelberg,"[7.096064, 51.510892]","[8.702067, 49.408826]","[[7.096064, 51.510892], [8.702067, 49.408826]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,"https://www.heidelberg.de/hd,Len/300652.html"
24,Gelsenkirchen-Erfurt,Gelsenkirchen,Erfurt,"[7.096064, 51.510892]","[11.027236, 50.977121999999994]","[[7.096064, 51.510892], [11.027236, 50.977121999999994]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.erfurt-tourismus.de/en/
25,Gelsenkirchen-Berlin,Gelsenkirchen,Berlin,"[7.096064, 51.510892]","[13.405538, 52.517669999999995]","[[7.096064, 51.510892], [13.405538, 52.517669999999995]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.visitberlin.de/en
26,Gelsenkirchen-Aachen,Gelsenkirchen,Aachen,"[7.096064, 51.510892]","[6.0838, 50.773516]","[[7.096064, 51.510892], [6.0838, 50.773516]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.aachen-tourismus.de/en/
27,Gelsenkirchen-Hamburg,Gelsenkirchen,Hamburg,"[7.096064, 51.510892]","[9.99697, 53.550678000000005]","[[7.096064, 51.510892], [9.99697, 53.550678000000005]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.hamburg.com/useful-information/11900874/tourist-information/
28,Oberhausen-Gelsenkirchen,Oberhausen,Gelsenkirchen,"[6.852291, 51.470317]","[7.096064, 51.510892]","[[6.852291, 51.470317], [7.096064, 51.510892]]",https://www.oberhausen-tourismus.de/en/index.php,https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx
29,Oberhausen-Bonn,Oberhausen,Bonn,"[6.852291, 51.470317]","[7.099187, 50.734245]","[[6.852291, 51.470317], [7.099187, 50.734245]]",https://www.oberhausen-tourismus.de/en/index.php,https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php
30,Oberhausen-Duisburg,Oberhausen,Duisburg,"[6.852291, 51.470317]","[6.765477000000001, 51.433259]","[[6.852291, 51.470317], [6.765477000000001, 51.433259]]",https://www.oberhausen-tourismus.de/en/index.php,https://www.duisburg.de/tourismus/index.php
31,Oberhausen-München,Oberhausen,München,"[6.852291, 51.470317]","[11.575997000000001, 48.137683]","[[6.852291, 51.470317], [11.575997000000001, 48.137683]]",https://www.oberhausen-tourismus.de/en/index.php,https://www.munich.travel/en
32,Oberhausen-Bochum,Oberhausen,Bochum,"[6.852291, 51.470317]","[7.217177, 51.482699]","[[6.852291, 51.470317], [7.217177, 51.482699]]",https://www.oberhausen-tourismus.de/en/index.php,https://www.bochum-tourismus.de/#c32169
33,Oberhausen-Solingen,Oberhausen,Solingen,"[6.852291, 51.470317]","[7.085665, 51.171718]","[[6.852291, 51.470317], [7.085665, 51.171718]]",https://www.oberhausen-tourismus.de/en/index.php,https://www.solingen.de/marketing/
34,Oberhausen-Nürnberg,Oberhausen,Nürnberg,"[6.852291, 51.470317]","[11.075269, 49.450938]","[[6.852291, 51.470317], [11.075269, 49.450938]]",https://www.oberhausen-tourismus.de/en/index.php,https://tourismus.nuernberg.de/en/
35,Oberhausen-Karlsruhe,Oberhausen,Karlsruhe,"[6.852291, 51.470317]","[8.405282000000001, 49.009626000000004]","[[6.852291, 51.470317], [8.405282000000001, 49.009626000000004]]",https://www.oberhausen-tourismus.de/en/index.php,https://www.karlsruhe-erleben.de/en/media/attractions/Tourist-Information-Karlsruhe#/article/b0956bf3-244e-4dbe-8284-8295333e4237
36,Oberhausen-Wuppertal,Oberhausen,Wuppertal,"[6.852291, 51.470317]","[7.195874000000001, 51.271288]","[[6.852291, 51.470317], [7.195874000000001, 51.271288]]",https://www.oberhausen-tourismus.de/en/index.php,https://www.wuppertal.de/tourismus-freizeit/touristinformationen/index.php?10
37,Oberhausen-Hagen,Oberhausen,Hagen,"[6.852291, 51.470317]","[7.4674059999999995, 51.360171]","[[6.852291, 51.470317], [7.4674059999999995, 51.360171]]",https://www.oberhausen-tourismus.de/en/index.php,https://hagenentdecken.de/
38,Oberhausen-Dortmund,Oberhausen,Dortmund,"[6.852291, 51.470317]","[7.4641649999999995, 51.514171000000005]","[[6.852291, 51.470317], [7.4641649999999995, 51.514171000000005]]",https://www.oberhausen-tourismus.de/en/index.php,https://visit.dortmund.de/en/
39,Oberhausen-Düsseldorf,Oberhausen,Düsseldorf,"[6.852291, 51.470317]","[6.780067999999999, 51.22422]","[[6.852291, 51.470317], [6.780067999999999, 51.22422]]",https://www.oberhausen-tourismus.de/en/index.php,https://www.duesseldorf-tourismus.de/en
40,Oberhausen-Essen,Oberhausen,Essen,"[6.852291, 51.470317]","[7.012583, 51.455843]","[[6.852291, 51.470317], [7.012583, 51.455843]]",https://www.oberhausen-tourismus.de/en/index.php,https://www.visitessen.de/startseite_14/Startseite.en.html
41,Oberhausen-Erlangen,Oberhausen,Erlangen,"[6.852291, 51.470317]","[11.003274000000001, 49.595079999999996]","[[6.852291, 51.470317], [11.003274000000001, 49.595079999999996]]",https://www.oberhausen-tourismus.de/en/index.php,https://www.erlangen.info/schaufenster/tourist-information_erlangen-314/
42,Oberhausen-Osnabrück,Oberhausen,Osnabrück,"[6.852291, 51.470317]","[8.04205, 52.276920000000004]","[[6.852291, 51.470317], [8.04205, 52.276920000000004]]",https://www.oberhausen-tourismus.de/en/index.php,https://www.osnabrueck.de//english
43,Oberhausen-Leipzig,Oberhausen,Leipzig,"[6.852291, 51.470317]","[12.377931, 51.338288]","[[6.852291, 51.470317], [12.377931, 51.338288]]",https://www.oberhausen-tourismus.de/en/index.php,https://english.leipzig.de/
44,Oberhausen-Würzburg,Oberhausen,Würzburg,"[6.852291, 51.470317]","[9.93725, 49.793929999999996]","[[6.852291, 51.470317], [9.93725, 49.793929999999996]]",https://www.oberhausen-tourismus.de/en/index.php,https://www.wuerzburg.de/en/index.html
45,Oberhausen-Mannheim,Oberhausen,Mannheim,"[6.852291, 51.470317]","[8.466275, 49.48778]","[[6.852291, 51.470317], [8.466275, 49.48778]]",https://www.oberhausen-tourismus.de/en/index.php,https://www.visit-mannheim.de/en
46,Oberhausen-Ulm,Oberhausen,Ulm,"[6.852291, 51.470317]","[9.990402, 48.398454]","[[6.852291, 51.470317], [9.990402, 48.398454]]",https://www.oberhausen-tourismus.de/en/index.php,https://tourismus.ulm.de/en/
47,Oberhausen-Bamberg,Oberhausen,Bamberg,"[6.852291, 51.470317]","[10.886786, 49.893387]","[[6.852291, 51.470317], [10.886786, 49.893387]]",https://www.oberhausen-tourismus.de/en/index.php,https://en.bamberg.info/?setLanguage=en
48,Oberhausen-Darmstadt,Oberhausen,Darmstadt,"[6.852291, 51.470317]","[8.653838, 49.872238]","[[6.852291, 51.470317], [8.653838, 49.872238]]",https://www.oberhausen-tourismus.de/en/index.php,https://www.darmstadt-tourismus.de/en/visit.html
49,Oberhausen-Köln,Oberhausen,Köln,"[6.852291, 51.470317]","[6.957068, 50.938107]","[[6.852291, 51.470317], [6.957068, 50.938107]]",https://www.oberhausen-tourismus.de/en/index.php,https://www.cologne-tourism.com/
50,Oberhausen-Stuttgart,Oberhausen,Stuttgart,"[6.852291, 51.470317]","[9.177734, 48.775816999999996]","[[6.852291, 51.470317], [9.177734, 48.775816999999996]]",https://www.oberhausen-tourismus.de/en/index.php,https://www.stuttgart-tourist.de/en
51,Oberhausen-Heidelberg,Oberhausen,Heidelberg,"[6.852291, 51.470317]","[8.702067, 49.408826]","[[6.852291, 51.470317], [8.702067, 49.408826]]",https://www.oberhausen-tourismus.de/en/index.php,"https://www.heidelberg.de/hd,Len/300652.html"
52,Oberhausen-Erfurt,Oberhausen,Erfurt,"[6.852291, 51.470317]","[11.027236, 50.977121999999994]","[[6.852291, 51.470317], [11.027236, 50.977121999999994]]",https://www.oberhausen-tourismus.de/en/index.php,https://www.erfurt-tourismus.de/en/
53,Oberhausen-Berlin,Oberhausen,Berlin,"[6.852291, 51.470317]","[13.405538, 52.517669999999995]","[[6.852291, 51.470317], [13.405538, 52.517669999999995]]",https://www.oberhausen-tourismus.de/en/index.php,https://www.visitberlin.de/en
54,Oberhausen-Aachen,Oberhausen,Aachen,"[6.852291, 51.470317]","[6.0838, 50.773516]","[[6.852291, 51.470317], [6.0838, 50.773516]]",https://www.oberhausen-tourismus.de/en/index.php,https://www.aachen-tourismus.de/en/
55,Oberhausen-Hamburg,Oberhausen,Hamburg,"[6.852291, 51.470317]","[9.99697, 53.550678000000005]","[[6.852291, 51.470317], [9.99697, 53.550678000000005]]",https://www.oberhausen-tourismus.de/en/index.php,https://www.hamburg.com/useful-information/11900874/tourist-information/
56,Bonn-Gelsenkirchen,Bonn,Gelsenkirchen,"[7.099187, 50.734245]","[7.096064, 51.510892]","[[7.099187, 50.734245], [7.096064, 51.510892]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx
57,Bonn-Oberhausen,Bonn,Oberhausen,"[7.099187, 50.734245]","[6.852291, 51.470317]","[[7.099187, 50.734245], [6.852291, 51.470317]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://www.oberhausen-tourismus.de/en/index.php
58,Bonn-Duisburg,Bonn,Duisburg,"[7.099187, 50.734245]","[6.765477000000001, 51.433259]","[[7.099187, 50.734245], [6.765477000000001, 51.433259]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://www.duisburg.de/tourismus/index.php
59,Bonn-München,Bonn,München,"[7.099187, 50.734245]","[11.575997000000001, 48.137683]","[[7.099187, 50.734245], [11.575997000000001, 48.137683]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://www.munich.travel/en
60,Bonn-Bochum,Bonn,Bochum,"[7.099187, 50.734245]","[7.217177, 51.482699]","[[7.099187, 50.734245], [7.217177, 51.482699]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://www.bochum-tourismus.de/#c32169
61,Bonn-Solingen,Bonn,Solingen,"[7.099187, 50.734245]","[7.085665, 51.171718]","[[7.099187, 50.734245], [7.085665, 51.171718]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://www.solingen.de/marketing/
62,Bonn-Nürnberg,Bonn,Nürnberg,"[7.099187, 50.734245]","[11.075269, 49.450938]","[[7.099187, 50.734245], [11.075269, 49.450938]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://tourismus.nuernberg.de/en/
63,Bonn-Karlsruhe,Bonn,Karlsruhe,"[7.099187, 50.734245]","[8.405282000000001, 49.009626000000004]","[[7.099187, 50.734245], [8.405282000000001, 49.009626000000004]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://www.karlsruhe-erleben.de/en/media/attractions/Tourist-Information-Karlsruhe#/article/b0956bf3-244e-4dbe-8284-8295333e4237
64,Bonn-Wuppertal,Bonn,Wuppertal,"[7.099187, 50.734245]","[7.195874000000001, 51.271288]","[[7.099187, 50.734245], [7.195874000000001, 51.271288]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://www.wuppertal.de/tourismus-freizeit/touristinformationen/index.php?10
65,Bonn-Hagen,Bonn,Hagen,"[7.099187, 50.734245]","[7.4674059999999995, 51.360171]","[[7.099187, 50.734245], [7.4674059999999995, 51.360171]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://hagenentdecken.de/
66,Bonn-Dortmund,Bonn,Dortmund,"[7.099187, 50.734245]","[7.4641649999999995, 51.514171000000005]","[[7.099187, 50.734245], [7.4641649999999995, 51.514171000000005]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://visit.dortmund.de/en/
67,Bonn-Düsseldorf,Bonn,Düsseldorf,"[7.099187, 50.734245]","[6.780067999999999, 51.22422]","[[7.099187, 50.734245], [6.780067999999999, 51.22422]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://www.duesseldorf-tourismus.de/en
68,Bonn-Essen,Bonn,Essen,"[7.099187, 50.734245]","[7.012583, 51.455843]","[[7.099187, 50.734245], [7.012583, 51.455843]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://www.visitessen.de/startseite_14/Startseite.en.html
69,Bonn-Erlangen,Bonn,Erlangen,"[7.099187, 50.734245]","[11.003274000000001, 49.595079999999996]","[[7.099187, 50.734245], [11.003274000000001, 49.595079999999996]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://www.erlangen.info/schaufenster/tourist-information_erlangen-314/
70,Bonn-Osnabrück,Bonn,Osnabrück,"[7.099187, 50.734245]","[8.04205, 52.276920000000004]","[[7.099187, 50.734245], [8.04205, 52.276920000000004]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://www.osnabrueck.de//english
71,Bonn-Leipzig,Bonn,Leipzig,"[7.099187, 50.734245]","[12.377931, 51.338288]","[[7.099187, 50.734245], [12.377931, 51.338288]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://english.leipzig.de/
72,Bonn-Würzburg,Bonn,Würzburg,"[7.099187, 50.734245]","[9.93725, 49.793929999999996]","[[7.099187, 50.734245], [9.93725, 49.793929999999996]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://www.wuerzburg.de/en/index.html
73,Bonn-Mannheim,Bonn,Mannheim,"[7.099187, 50.734245]","[8.466275, 49.48778]","[[7.099187, 50.734245], [8.466275, 49.48778]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://www.visit-mannheim.de/en
74,Bonn-Ulm,Bonn,Ulm,"[7.099187, 50.734245]","[9.990402, 48.398454]","[[7.099187, 50.734245], [9.990402, 48.398454]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://tourismus.ulm.de/en/
75,Bonn-Bamberg,Bonn,Bamberg,"[7.099187, 50.734245]","[10.886786, 49.893387]","[[7.099187, 50.734245], [10.886786, 49.893387]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://en.bamberg.info/?setLanguage=en
76,Bonn-Darmstadt,Bonn,Darmstadt,"[7.099187, 50.734245]","[8.653838, 49.872238]","[[7.099187, 50.734245], [8.653838, 49.872238]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://www.darmstadt-tourismus.de/en/visit.html
77,Bonn-Köln,Bonn,Köln,"[7.099187, 50.734245]","[6.957068, 50.938107]","[[7.099187, 50.734245], [6.957068, 50.938107]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://www.cologne-tourism.com/
78,Bonn-Stuttgart,Bonn,Stuttgart,"[7.099187, 50.734245]","[9.177734, 48.775816999999996]","[[7.099187, 50.734245], [9.177734, 48.775816999999996]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://www.stuttgart-tourist.de/en
79,Bonn-Heidelberg,Bonn,Heidelberg,"[7.099187, 50.734245]","[8.702067, 49.408826]","[[7.099187, 50.734245], [8.702067, 49.408826]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,"https://www.heidelberg.de/hd,Len/300652.html"
80,Bonn-Erfurt,Bonn,Erfurt,"[7.099187, 50.734245]","[11.027236, 50.977121999999994]","[[7.099187, 50.734245], [11.027236, 50.977121999999994]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://www.erfurt-tourismus.de/en/
81,Bonn-Berlin,Bonn,Berlin,"[7.099187, 50.734245]","[13.405538, 52.517669999999995]","[[7.099187, 50.734245], [13.405538, 52.517669999999995]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://www.visitberlin.de/en
82,Bonn-Aachen,Bonn,Aachen,"[7.099187, 50.734245]","[6.0838, 50.773516]","[[7.099187, 50.734245], [6.0838, 50.773516]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://www.aachen-tourismus.de/en/
83,Bonn-Hamburg,Bonn,Hamburg,"[7.099187, 50.734245]","[9.99697, 53.550678000000005]","[[7.099187, 50.734245], [9.99697, 53.550678000000005]]",https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php,https://www.hamburg.com/useful-information/11900874/tourist-information/
84,Duisburg-Gelsenkirchen,Duisburg,Gelsenkirchen,"[6.765477000000001, 51.433259]","[7.096064, 51.510892]","[[6.765477000000001, 51.433259], [7.096064, 51.510892]]",https://www.duisburg.de/tourismus/index.php,https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx
85,Duisburg-Oberhausen,Duisburg,Oberhausen,"[6.765477000000001, 51.433259]","[6.852291, 51.470317]","[[6.765477000000001, 51.433259], [6.852291, 51.470317]]",https://www.duisburg.de/tourismus/index.php,https://www.oberhausen-tourismus.de/en/index.php
86,Duisburg-Bonn,Duisburg,Bonn,"[6.765477000000001, 51.433259]","[7.099187, 50.734245]","[[6.765477000000001, 51.433259], [7.099187, 50.734245]]",https://www.duisburg.de/tourismus/index.php,https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php
87,Duisburg-München,Duisburg,München,"[6.765477000000001, 51.433259]","[11.575997000000001, 48.137683]","[[6.765477000000001, 51.433259], [11.575997000000001, 48.137683]]",https://www.duisburg.de/tourismus/index.php,https://www.munich.travel/en
88,Duisburg-Bochum,Duisburg,Bochum,"[6.765477000000001, 51.433259]","[7.217177, 51.482699]","[[6.765477000000001, 51.433259], [7.217177, 51.482699]]",https://www.duisburg.de/tourismus/index.php,https://www.bochum-tourismus.de/#c32169
89,Duisburg-Solingen,Duisburg,Solingen,"[6.765477000000001, 51.433259]","[7.085665, 51.171718]","[[6.765477000000001, 51.433259], [7.085665, 51.171718]]",https://www.duisburg.de/tourismus/index.php,https://www.solingen.de/marketing/
90,Duisburg-Nürnberg,Duisburg,Nürnberg,"[6.765477000000001, 51.433259]","[11.075269, 49.450938]","[[6.765477000000001, 51.433259], [11.075269, 49.450938]]",https://www.duisburg.de/tourismus/index.php,https://tourismus.nuernberg.de/en/
91,Duisburg-Karlsruhe,Duisburg,Karlsruhe,"[6.765477000000001, 51.433259]","[8.405282000000001, 49.009626000000004]","[[6.765477000000001, 51.433259], [8.405282000000001, 49.009626000000004]]",https://www.duisburg.de/tourismus/index.php,https://www.karlsruhe-erleben.de/en/media/attractions/Tourist-Information-Karlsruhe#/article/b0956bf3-244e-4dbe-8284-8295333e4237
92,Duisburg-Wuppertal,Duisburg,Wuppertal,"[6.765477000000001, 51.433259]","[7.195874000000001, 51.271288]","[[6.765477000000001, 51.433259], [7.195874000000001, 51.271288]]",https://www.duisburg.de/tourismus/index.php,https://www.wuppertal.de/tourismus-freizeit/touristinformationen/index.php?10
93,Duisburg-Hagen,Duisburg,Hagen,"[6.765477000000001, 51.433259]","[7.4674059999999995, 51.360171]","[[6.765477000000001, 51.433259], [7.4674059999999995, 51.360171]]",https://www.duisburg.de/tourismus/index.php,https://hagenentdecken.de/
94,Duisburg-Dortmund,Duisburg,Dortmund,"[6.765477000000001, 51.433259]","[7.4641649999999995, 51.514171000000005]","[[6.765477000000001, 51.433259], [7.4641649999999995, 51.514171000000005]]",https://www.duisburg.de/tourismus/index.php,https://visit.dortmund.de/en/
