totaltraveltimeinsec,totalprice,totalnumberofchanges,totalwalkingdistance,totalwaitingtime,objective,finiteautomaton,consideredpreferences,finalsolutionusedlabels,sourcename,targetname
0.5,96.4,1,0,0.0,price,noFlights,"[travelTime, price, numberofChanges]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.9,22.5,1,383,0.0,price,all,"[travelTime, price, numberofChanges, walkingDistance]","[blablacar, db_fv]",Heidelberg,Oberhausen
0.7,29.4,1,273,0.0,price,all,"[travelTime, price, numberofChanges, walkingDistance]","[blablacar, db_fv]",Heidelberg,Oberhausen
0.5,96.4,1,632,0.0,price,all,"[travelTime, price, numberofChanges, walkingDistance]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.9,22.5,1,383,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[blablacar, db_fv]",Heidelberg,Oberhausen
0.7,27.4,2,273,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[blablacar, db_fv]",Heidelberg,Oberhausen
0.7,91.0,2,632,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.6,91.0,2,632,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.6,96.4,2,632,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.5,96.4,1,632,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.7,29.4,1,273,0.0,travelTime,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[blablacar, db_fv]",Heidelberg,Oberhausen
1.3,96.0,2,0,0.0,walkingDistance,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]",[db_fv],Heidelberg,Oberhausen
0.9,27.4,2,273,0.0,walkingDistance,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[blablacar, db_fv]",Heidelberg,Oberhausen
0.9,22.5,1,383,0.0,price,noFlights,"[travelTime, price, numberofChanges, walkingDistance]","[blablacar, db_fv]",Heidelberg,Oberhausen
0.7,29.4,1,273,0.0,price,noFlights,"[travelTime, price, numberofChanges, walkingDistance]","[blablacar, db_fv]",Heidelberg,Oberhausen
0.5,96.4,1,632,0.0,price,noFlights,"[travelTime, price, numberofChanges, walkingDistance]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.9,22.5,1,383,0.2,price,all,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]","[blablacar, db_fv]",Heidelberg,Oberhausen
0.7,29.4,1,273,0.0,price,all,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]","[blablacar, db_fv]",Heidelberg,Oberhausen
0.5,96.4,1,632,0.0,price,all,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]","[flixbus, db_fv]",Heidelberg,Oberhausen
